GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,Application,5,3,0,0,2,1,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex,DatabaseInitializer,147,25,1,1,19,11,2,3,1,3
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,FilmWebController,328,27,6,0,66,10,15,1,12,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.web,UserWebController,25,9,0,0,6,4,3,1,3,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,User,30,22,0,0,12,7,8,2,8,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Film,116,80,8,0,27,30,12,15,8,15
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.model,Review,182,10,28,0,36,4,29,1,15,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,UserRestController,16,9,0,0,2,4,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.controller.rest,FilmRestController,81,9,4,0,16,4,9,1,7,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FilmService,159,70,12,2,29,14,15,6,8,6
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserComponent,7,6,0,0,1,3,1,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,FavoriteFilmService,73,12,0,0,12,5,6,1,6,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,UserService,24,6,0,0,4,3,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service,ReviewService,70,18,0,0,12,7,4,1,4,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.service.exceptions,FilmNotFoundException,0,5,0,0,0,2,0,1,0,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,WebErrorHandler,38,6,2,0,7,2,2,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,RestErrorHandler,31,3,3,0,6,1,3,1,1,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.configuration,UserModelAttributes,12,6,0,0,2,3,2,1,2,1
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRatingOption,9,0,0,0,1,0,1,0,1,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,ImageUtils,55,17,4,2,13,4,5,2,2,2
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils,20,0,0,0,7,0,3,0,3,0
nitflex-web-bbdd-rest,es.codeurjc.web.nitflex.utils,AgeRatingOptionsUtils.AgeRating,49,0,0,0,10,0,3,0,3,0
